"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
1001," Aguascalientes",948990,25933,0.972673052403081,97.2673052403081
1002," Asientos",51536,1465,0.971573269171065,97.1573269171065
1003," Calvillo",58250,1448,0.975141630901288,97.5141630901288
1004," Cosío",17000,342,0.979882352941176,97.9882352941176
1010," El Llano",20853,354,0.983024025320098,98.3024025320098
1005," Jesús María",129929,2660,0.979527280283847,97.9527280283847
1006," Pabellón de Arteaga",47646,956,0.979935356588171,97.9935356588171
1007," Rincón de Romos",57369,993,0.982691000366051,98.2691000366051
1011," San Francisco de los Romo",61997,1363,0.978015065245093,97.8015065245093
1008," San José de Gracia",9552,119,0.987541876046901,98.7541876046901
1009," Tepezalá",22485,678,0.969846564376251,96.9846564376251
2001," Ensenada",443807,15667,0.964698618994293,96.4698618994292
2002," Mexicali",1049792,33791,0.967811718892885,96.7811718892885
2005," Playas de Rosarito",126890,3348,0.973614942075814,97.3614942075814
2006," San Quintín",117568,NA,NA,NA
2003," Tecate",108440,3729,0.965612320177056,96.5612320177056
2004," Tijuana",1922523,77349,0.959766931266882,95.9766931266882
3001," Comondú",73021,1093,0.985031703208666,98.5031703208666
3003," La Paz",292241,7717,0.973593712039036,97.3593712039036
3009," Loreto",18052,358,0.980168402393087,98.0168402393087
3008," Los Cabos",351111,11075,0.968457268499136,96.8457268499136
3002," Mulegé",64022,1126,0.982412295773328,98.2412295773328
4010," Calakmul",31714,239,0.992463896071136,99.2463896071136
4001," Calkiní",59232,987,0.983336709886548,98.3336709886548
4002," Campeche",294077,7774,0.973564746647987,97.3564746647987
4011," Candelaria",46913,388,0.991729371389593,99.1729371389594
4003," Carmen",248845,5737,0.976945488155277,97.6945488155277
4004," Champotón",78170,1308,0.983267238070871,98.3267238070871
4009," Escárcega",59923,928,0.984513458938972,98.4513458938972
4005," Hecelchakán",31917,476,0.985086317636369,98.5086317636369
4006," Hopelchén",42140,395,0.9906264831514,99.06264831514
4007," Palizada",8683,64,0.992629275595992,99.2629275595992
4012," Seybaplaya",15297,NA,NA,NA
4008," Tenabo",11452,112,0.990220048899755,99.0220048899755
5001," Abasolo",1022,35,0.965753424657534,96.5753424657534
5002," Acuña",163058,1705,0.98954359798354,98.954359798354
5003," Allende",23056,593,0.97428001387925,97.428001387925
5004," Arteaga",29578,646,0.97815944282913,97.815944282913
5005," Candela",1643,19,0.988435788192331,98.8435788192331
5006," Castaños",29128,580,0.980087887942873,98.0087887942873
5007," Cuatro Ciénegas",12715,250,0.980338183248132,98.0338183248132
5008," Escobedo",3047,53,0.982605841811618,98.2605841811618
5009," Francisco I. Madero",59035,968,0.983602947404082,98.3602947404082
5010," Frontera",82409,2415,0.97069494836729,97.069494836729
5011," General Cepeda",11898,157,0.986804504958817,98.6804504958817
5012," Guerrero",1643,69,0.95800365185636,95.800365185636
5013," Hidalgo",1735,17,0.990201729106628,99.0201729106628
5014," Jiménez",9502,85,0.991054514838981,99.1054514838981
5015," Juárez",1584,27,0.982954545454545,98.2954545454545
5016," Lamadrid",1764,49,0.972222222222222,97.2222222222222
5017," Matamoros",118337,2026,0.982879403736786,98.2879403736786
5018," Monclova",237951,7723,0.967543737996478,96.7543737996478
5019," Morelos",7928,238,0.969979818365288,96.9979818365288
5020," Múzquiz",71627,1676,0.97660100241529,97.660100241529
5021," Nadadores",6539,105,0.983942498853036,98.3942498853036
5022," Nava",33129,1177,0.964472214675964,96.4472214675964
5023," Ocampo",9642,306,0.968263845675171,96.8263845675171
5024," Parras",44472,579,0.986980572045332,98.6980572045332
5025," Piedras Negras",176327,6544,0.962887135832856,96.2887135832856
5026," Progreso",3239,44,0.986415560358135,98.6415560358135
5027," Ramos Arizpe",122243,4054,0.96683654687794,96.683654687794
5028," Sabinas",64811,1967,0.969650213698292,96.9650213698292
5029," Sacramento",2471,12,0.995143666531769,99.5143666531769
5030," Saltillo",879958,28407,0.967717777439378,96.7717777439378
5031," San Buenaventura",24759,469,0.981057393271134,98.1057393271134
5032," San Juan de Sabinas",42260,1443,0.965854235683862,96.5854235683862
5033," San Pedro",101041,1891,0.981284824972041,98.1284824972041
5034," Sierra Mojada",6744,192,0.97153024911032,97.153024911032
5035," Torreón",720848,22220,0.9691751936608,96.91751936608
5036," Viesca",20305,556,0.972617581876385,97.2617581876385
5037," Villa Unión",6188,113,0.981738849385908,98.1738849385908
5038," Zaragoza",13135,404,0.969242481918538,96.9242481918538
6001," Armería",27626,442,0.984000579164555,98.4000579164555
6002," Colima",157048,3849,0.975491569456472,97.5491569456472
6003," Comala",21661,374,0.98273394580121,98.273394580121
6004," Coquimatlán",20837,312,0.985026635312185,98.5026635312185
6005," Cuauhtémoc",31267,491,0.984296542680782,98.4296542680782
6006," Ixtlahuacán",5623,104,0.981504534945759,98.1504534945759
6007," Manzanillo",191031,4342,0.977270704754726,97.7270704754726
6008," Minatitlán",10231,229,0.97761704623204,97.761704623204
6009," Tecomán",116305,1772,0.984764197583939,98.4764197583939
6010," Villa de Álvarez",149762,3269,0.978172032958962,97.8172032958962
7001," Acacoyagua",17994,214,0.98810714682672,98.810714682672
7002," Acala",21187,270,0.987256336432718,98.7256336432718
7003," Acapetahua",26899,223,0.991709728986208,99.1709728986208
7113," Aldama",8480,14,0.998349056603774,99.8349056603774
7004," Altamirano",36160,92,0.997455752212389,99.7455752212389
7005," Amatán",24512,316,0.987108355091384,98.7108355091384
7006," Amatenango de la Frontera",31735,271,0.991460532535056,99.1460532535056
7007," Amatenango del Valle",11283,26,0.997695648320482,99.7695648320482
7008," Ángel Albino Corzo",31947,250,0.992174539080352,99.2174539080352
7009," Arriaga",41135,586,0.985754223896925,98.5754223896925
7010," Bejucal de Ocampo",7365,79,0.989273591310251,98.9273591310251
7011," Bella Vista",20157,166,0.991764647516992,99.1764647516992
7114," Benemérito de las Américas",23603,90,0.99618692539084,99.618692539084
7012," Berriozábal",64632,750,0.988395841069439,98.8395841069439
7013," Bochil",37263,410,0.988997128518906,98.8997128518906
7015," Cacahoatán",50112,463,0.990760696040868,99.0760696040869
7120," Capitán Luis Ángel Vidal",4315,18,0.995828505214368,99.5828505214369
7016," Catazajá",17619,142,0.991940518758159,99.1940518758159
7022," Chalchihuitán",21915,10,0.999543691535478,99.9543691535478
7023," Chamula",101967,399,0.996086969313601,99.6086969313601
7024," Chanal",13678,24,0.998245357508408,99.8245357508408
7025," Chapultenango",7472,100,0.98661670235546,98.661670235546
7026," Chenalhó",47371,106,0.997762344050157,99.7762344050157
7027," Chiapa de Corzo",112075,1259,0.988766451037252,98.8766451037252
7028," Chiapilla",6156,25,0.995938921377518,99.5938921377518
7029," Chicoasén",5402,28,0.994816734542762,99.4816734542762
7030," Chicomuselo",36785,441,0.988011417697431,98.8011417697431
7031," Chilón",137262,362,0.997362707814253,99.7362707814253
7017," Cintalapa",88106,1023,0.988388985994143,98.8388985994143
7018," Coapilla",9900,42,0.995757575757576,99.5757575757576
7019," Comitán de Domínguez",166178,2306,0.986123313555344,98.6123313555344
7021," Copainalá",22192,174,0.992159336697909,99.2159336697909
7014," El Bosque",24273,411,0.983067605981955,98.3067605981955
7122," El Parral",15587,114,0.992686212869699,99.2686212869699
7070," El Porvenir",12263,160,0.986952621707576,98.6952621707576
7123," Emiliano Zapata",10783,195,0.981915978855606,98.1915978855606
7032," Escuintla",30896,332,0.989254272397721,98.9254272397721
7033," Francisco León",7245,41,0.994340924775707,99.4340924775707
7034," Frontera Comalapa",80897,1122,0.986130511638256,98.6130511638256
7035," Frontera Hidalgo",14556,93,0.99361088211047,99.361088211047
7125," Honduras de la Sierra",11650,NA,NA,NA
7037," Huehuetán",36333,255,0.992981586987037,99.2981586987037
7039," Huitiupán",27893,138,0.995052522138171,99.5052522138171
7038," Huixtán",22975,79,0.996561479869423,99.6561479869423
7040," Huixtla",53242,549,0.989688591713309,98.9688591713309
7042," Ixhuatán",11377,57,0.994989891887141,99.4989891887141
7043," Ixtacomitán",10961,152,0.98613265213028,98.613265213028
7044," Ixtapa",28999,146,0.994965343632539,99.4965343632539
7045," Ixtapangajoya",6284,46,0.992679821769573,99.2679821769573
7046," Jiquipilas",41063,430,0.989528285804739,98.9528285804739
7047," Jitotol",24966,182,0.992710085716574,99.2710085716574
7048," Juárez",21807,264,0.98789379557023,98.789379557023
7020," La Concordia",49920,669,0.986598557692308,98.6598557692308
7036," La Grandeza",7701,61,0.992078950785612,99.2078950785612
7041," La Independencia",46409,307,0.993384903790213,99.3384903790213
7050," La Libertad",5232,83,0.984136085626911,98.4136085626911
7099," La Trinitaria",83111,785,0.990554800206952,99.0554800206952
7049," Larráinzar",31259,397,0.987299657698583,98.7299657698583
7052," Las Margaritas",141027,919,0.993483517340651,99.3483517340651
7075," Las Rosas",28829,135,0.995317215304034,99.5317215304034
7051," Mapastepec",46130,585,0.98731844786473,98.731844786473
7115," Maravilla Tenejapa",14714,77,0.99476688867745,99.476688867745
7116," Marqués de Comillas",12892,139,0.989218119764195,98.9218119764195
7053," Mazapa de Madero",7901,42,0.994684217187698,99.4684217187698
7054," Mazatán",28250,139,0.995079646017699,99.5079646017699
7055," Metapa",5876,47,0.992001361470388,99.2001361470388
7124," Mezcalapa",23847,180,0.992451880739716,99.2451880739716
7056," Mitontic",13755,35,0.997455470737914,99.7455470737914
7117," Montecristo de Guerrero",8412,69,0.991797432239658,99.1797432239658
7057," Motozintla",76398,856,0.988795518207283,98.8795518207283
7058," Nicolás Ruíz",4765,141,0.970409233997901,97.0409233997901
7059," Ocosingo",234661,1836,0.992175947430549,99.2175947430549
7060," Ocotepec",14088,189,0.986584327086882,98.6584327086883
7061," Ocozocoautla de Espinosa",97397,1484,0.98476339106954,98.476339106954
7062," Ostuacán",18469,261,0.985868211597813,98.5868211597813
7063," Osumacinta",3983,27,0.993221190057745,99.3221190057745
7064," Oxchuc",54932,141,0.997433190125974,99.7433190125974
7065," Palenque",132265,1642,0.987585529051525,98.7585529051525
7066," Pantelhó",26391,115,0.995642453866849,99.5642453866849
7067," Pantepec",12266,156,0.987281917495516,98.7281917495516
7068," Pichucalco",31919,500,0.984335348851781,98.4335348851781
7069," Pijijiapan",51193,529,0.98966655597445,98.966655597445
7072," Pueblo Nuevo Solistahuacán",29636,75,0.997469294101768,99.7469294101768
7073," Rayón",10866,131,0.987944045646972,98.7944045646972
7074," Reforma",44829,574,0.987195788440518,98.7195788440518
7121," Rincón Chamula San Pedro",8718,27,0.996902959394356,99.6902959394356
7076," Sabanilla",29889,137,0.995416373916826,99.5416373916826
7077," Salto de Agua",64251,321,0.995003968809824,99.5003968809824
7118," San Andrés Duraznal",6047,28,0.995369604762692,99.5369604762692
7078," San Cristóbal de las Casas",215874,3383,0.984328821442138,98.4328821442137
7079," San Fernando",41793,442,0.989424066231187,98.9424066231187
7112," San Juan Cancuc",37948,49,0.998708759354907,99.8708759354907
7110," San Lucas",7526,26,0.99654530959341,99.654530959341
7119," Santiago el Pinar",4959,9,0.998185117967332,99.8185117967332
7080," Siltepec",25937,365,0.9859274395651,98.59274395651
7081," Simojovel",52935,156,0.997052989515444,99.7052989515443
7082," Sitalá",15518,7,0.999548910942132,99.9548910942132
7083," Socoltenango",19092,274,0.985648439136811,98.5648439136811
7084," Solosuchiapa",8561,47,0.994509987151034,99.4509987151034
7085," Soyaló",10890,60,0.994490358126722,99.4490358126722
7086," Suchiapa",25627,272,0.989386194248254,98.9386194248254
7087," Suchiate",41672,163,0.996088500671914,99.6088500671914
7088," Sunuapa",2308,14,0.993934142114385,99.3934142114385
7089," Tapachula",353706,5592,0.984190259707215,98.4190259707214
7090," Tapalapa",4547,20,0.995601495491533,99.5601495491533
7091," Tapilula",13592,114,0.9916127133608,99.16127133608
7092," Tecpatán",21426,416,0.980584336787081,98.0584336787081
7093," Tenejapa",48162,83,0.998276649640796,99.8276649640796
7094," Teopisca",49499,279,0.994363522495404,99.4363522495404
7096," Tila",83505,185,0.997784563798575,99.7784563798575
7097," Tonalá",91913,1573,0.982885990012294,98.2885990012294
7098," Totolapa",7211,22,0.996949105533213,99.6949105533213
7100," Tumbalá",38025,329,0.991347797501644,99.1347797501644
7102," Tuxtla Chico",41024,368,0.991029641185647,99.1029641185647
7101," Tuxtla Gutiérrez",604147,13099,0.978318190771451,97.8318190771451
7103," Tuzantán",30302,208,0.993135766616065,99.3135766616065
7104," Tzimol",16560,272,0.983574879227053,98.3574879227053
7105," Unión Juárez",16008,111,0.993065967016492,99.3065967016492
7106," Venustiano Carranza",67292,481,0.992852047791714,99.2852047791714
7071," Villa Comaltitlán",30297,145,0.995214047595471,99.5214047595472
7107," Villa Corzo",65643,356,0.994576725621925,99.4576725621925
7108," Villaflores",109536,1128,0.989702015775635,98.9702015775635
7109," Yajalón",40285,214,0.994687849075338,99.4687849075338
7111," Zinacantán",45373,134,0.997046701782999,99.7046701782999
8001," Ahumada",14635,339,0.976836351212846,97.6836351212846
8002," Aldama",26047,1041,0.960033785080815,96.0033785080816
8003," Allende",8487,225,0.973488865323436,97.3488865323436
8004," Aquiles Serdán",24344,794,0.967384160368058,96.7384160368058
8005," Ascensión",26093,865,0.966849346568045,96.6849346568045
8006," Bachíniva",5807,95,0.983640433959015,98.3640433959015
8007," Balleza",16440,136,0.991727493917275,99.1727493917275
8008," Batopilas de Manuel Gómez Morín",11270,85,0.9924578527063,99.24578527063
8009," Bocoyna",23351,292,0.987495182219177,98.7495182219177
8010," Buenaventura",25146,372,0.985206394655214,98.5206394655214
8011," Camargo",49499,1179,0.976181336996707,97.6181336996707
8012," Carichí",8113,63,0.992234685073339,99.2234685073339
8013," Casas Grandes",11815,405,0.965721540414727,96.5721540414727
8019," Chihuahua",937674,30066,0.967935551161704,96.7935551161704
8020," Chínipas",6222,49,0.992124718739955,99.2124718739955
8014," Coronado",2034,28,0.986234021632252,98.6234021632252
8015," Coyame del Sotol",1230,16,0.986991869918699,98.6991869918699
8017," Cuauhtémoc",180638,4941,0.972646951361286,97.2646951361286
8018," Cusihuiriachi",5099,65,0.987252402431849,98.7252402431849
8021," Delicias",150506,4129,0.972565877772315,97.2565877772315
8022," Dr. Belisario Domínguez",2456,45,0.981677524429967,98.1677524429967
8064," El Tule",1448,99,0.931629834254144,93.1629834254144
8023," Galeana",6656,111,0.983323317307692,98.3323317307692
8025," Gómez Farías",7023,93,0.986757795813755,98.6757795813755
8026," Gran Morelos",2448,33,0.986519607843137,98.6519607843137
8027," Guachochi",50180,359,0.992845755280988,99.2845755280988
8028," Guadalupe",4237,53,0.987491149398159,98.7491149398159
8029," Guadalupe y Calvo",50514,391,0.992259571603912,99.2259571603912
8030," Guazapares",8196,52,0.993655441678868,99.3655441678868
8031," Guerrero",35473,481,0.986440391283511,98.6440391283511
8032," Hidalgo del Parral",116662,3115,0.973298931957278,97.3298931957278
8033," Huejotitán",824,61,0.925970873786408,92.5970873786408
8034," Ignacio Zaragoza",5196,76,0.985373364126251,98.5373364126251
8035," Janos",11005,175,0.984098137210359,98.4098137210359
8036," Jiménez",40859,874,0.978609363910032,97.8609363910032
8037," Juárez",1512450,54677,0.963848722271811,96.3848722271811
8038," Julimes",4980,122,0.975502008032128,97.5502008032128
8016," La Cruz",3704,94,0.974622030237581,97.4622030237581
8039," López",4122,126,0.96943231441048,96.943231441048
8040," Madera",25144,344,0.986318803690741,98.6318803690741
8041," Maguarichi",1302,3,0.997695852534562,99.7695852534562
8042," Manuel Benavides",1178,18,0.98471986417657,98.471986417657
8043," Matachí",2742,11,0.99598832968636,99.598832968636
8044," Matamoros",4314,78,0.98191933240612,98.191933240612
8045," Meoqui",44853,886,0.98024658328317,98.024658328317
8046," Morelos",7266,56,0.992292870905588,99.2292870905588
8047," Moris",4447,20,0.995502586013043,99.5502586013043
8048," Namiquipa",22712,509,0.977588939767524,97.7588939767524
8049," Nonoava",2757,26,0.99056945955749,99.056945955749
8050," Nuevo Casas Grandes",65753,2089,0.968229586482746,96.8229586482746
8051," Ocampo",8127,108,0.98671096345515,98.671096345515
8052," Ojinaga",24534,716,0.970816010434499,97.0816010434499
8053," Praxedis G. Guerrero",5111,67,0.986891019369986,98.6891019369986
8054," Riva Palacio",7695,775,0.899285250162443,89.9285250162443
8055," Rosales",16776,375,0.977646638054363,97.7646638054363
8056," Rosario",2079,22,0.989417989417989,98.9417989417989
8057," San Francisco de Borja",2197,18,0.991807009558489,99.1807009558489
8058," San Francisco de Conchos",2696,60,0.977744807121662,97.7744807121662
8059," San Francisco del Oro",5004,260,0.948041566746603,94.8041566746603
8060," Santa Bárbara",11582,258,0.977724054567432,97.7724054567432
8024," Santa Isabel",3791,65,0.982854128198365,98.2854128198365
8061," Satevó",3414,56,0.983596953719977,98.3596953719977
8062," Saucillo",29862,547,0.981682405733039,98.1682405733039
8063," Temósachic",5320,31,0.994172932330827,99.4172932330827
8065," Urique",17043,130,0.992372234935164,99.2372234935164
8066," Uruachi",6512,12,0.998157248157248,99.8157248157248
8067," Valle de Zaragoza",4775,53,0.988900523560209,98.890052356021
9010," Álvaro Obregón",759137,32415,0.957300197461064,95.7300197461064
9002," Azcapotzalco",432205,18061,0.958211959602503,95.8211959602503
9014," Benito Juárez",434153,25673,0.940866468733373,94.0866468733373
9003," Coyoacán",614447,27301,0.955568177564542,95.5568177564542
9004," Cuajimalpa de Morelos",217686,9869,0.954664057403783,95.4664057403783
9015," Cuauhtémoc",545884,30803,0.943572260773351,94.3572260773351
9005," Gustavo A. Madero",1173351,53167,0.95468789816517,95.468789816517
9006," Iztacalco",404695,17551,0.956631537330582,95.6631537330582
9007," Iztapalapa",1835486,69895,0.961920167192776,96.1920167192776
9008," La Magdalena Contreras",247622,11225,0.954668809718038,95.4668809718038
9016," Miguel Hidalgo",414470,22565,0.945556976379473,94.5556976379473
9009," Milpa Alta",152685,3385,0.977830173232472,97.7830173232472
9011," Tláhuac",392313,13102,0.96660319693714,96.660319693714
